Tweets,Sentiment
@RealFKD1974 Trudolph is going to ban single use plastic just bought boxes of the stuff from Amazon,Negative
'Teething problems' for NSW plastic bag ban as deadline looms for single-use cutlery and straws https://t.co/Rc75oJmN71 via @ABCaustralia,Neutral
Lolz you want to ban plastic straws and bags in favour of paper. How many trees are we gonna need to cut down? https://t.co/VCHtAtuvyf,Positive
Plastic producers fight plan to ban single-use plastics - CTV News https://t.co/CGC9vgtSXT,Neutral
@SGWCorp None of that is needed with real grass and in a drought with a hosepipe ban using water to wash plastic carpet it is beyond ridiculous.,Negative
"@papenburg_g @BeauTFC I don't necessarily think its idiotic. The UK had a ""zombie knife"" scare where it banned knives that had green plastic handles and (decorative) serrated edges because they were cheap.

The ban didn't do anything as it failed to tackle the offensive aspects of the weapon.",Negative
More reasons to ban polystyrene plastic (Styrofoam) Here is some more good info and then consider signing the petition: https://t.co/4csCJ2YceD #AnOceanofGood https://t.co/WdIvJXPCWB,Positive
@clement_mangin @antonietta__76_ @therealmageoff @s_guilbeault Single use plastic ban isn't going to stop this illegal activity. Grow up.,Negative
@acmemarkets - why are you charging $4.95 for a BAG FEE for curb-side pickup orders? I already have 30+ reusable bags- I don't need more and you JUST started charging for the bags NOW? The plastic bag ban started months ago. Even crappy walmart doesn't charge a bag fee. #ripoff,Positive
"@LeelaVentura05 @libertyhq What about the folks who sue plastic surgeons? Should we ban restorative correction cosmetic surgery? 

After all more people regret plastic surgery than transitioning.",Positive
@janine_humphrey @libertyhq How many people have sued plastic surgeons? You gonna ban people getting any type of corrective restorative and cosmetic plastic surgery?,Positive
@DreamerSRB @RealCarlVernon @AvramovichMax Don’t think plastic surgeries would have helped 😂 maybe a ban from McDonalds and love for thyself. But what do I know anyway she could have had 5 kids and worked herself old 🤷🏼‍♂️,Positive
it smells outside again like burnt oil or something. so they are not telling people this or what is the problem? this better not stay like this because we want to work outside or sit in our yards we have this plastic bag ban going on and this going on?,Positive
@autisticgardner Can they add plastic grass to that ban list.,Neutral
"“With 75% of consumers agreeing plastic ruins the taste of beer we’d like to see [the] Government not only ban single-used plastic pint cups but also support the development and adoption of solutions for a better pint.""

@CAMRA_Official

https://t.co/CX9gPcy6VX",Positive
Dear @GovSisolak - ban plastic bags and make stores use paper bags in Nevada 👇👇👇👇 https://t.co/qJHBvOUwta,Neutral
Plastic ban bag backfires at some New Jersey supermarkets https://t.co/fjP3UrBM5t,Positive
"More people die from unsafe water than from all forms of violence including war former UN secretary-general Ban Ki-moon said in 2010.

#climatecrisis #water #plastic #crypto #bsc",Positive
"Still have no idea why there isn't a plan to:
Put solar panels on every public building
Ban plastic food packaging that is ""not yet recycled""

Both of these things could be done relatively quickly.",Positive
"@sWARoop_2311 Orey 😂🤣🤣 
Ban plastic anta 😂😂😂🤣🤣🤣",Neutral
"When single-use plastic bags are outlawed only outlaws will have supermarket baskets. Or something like that.

https://t.co/bcieXQkBuY",Neutral
"@nationalpost So NP stance is anti-single use ban?
NP plan for ending plastic pollution is ______.
Oh that’s right - you don’t need a plan other than loud overt criticism of anything liberal. 
Sad situation",Negative
@TheLabAndField Covid waste like most plastic waste is impossible to manage. It can't be recycled. Even in landfills and incinerators it releases toxic chemicals. Nations where plastic waste is shipped let it go into the rivers. This is why environmentalists tried to ban single-use plastics.,Negative
https://t.co/ouqLlErUWl Let’s ban all knives! We can cut our food with our teeth! Plastic knives are good too!,Positive
@RebelNews_CA Autocorrect is a turd.....btw.....they couldn't even ban plastic straws here in the states....fails everywhere i see......,Neutral
@CDNEnergyCentre Ban all plastic made from facial fuels.  Let bioplastic out of the ban.  Oil companies are just lying,Neutral
Thank you @BauerKahan and staff for working to protect pollinators and ban harmful neonic pesticides this legislative session with #AB2146. 🐝🌼 We enjoyed discussing other bills to address plastic pollution protect public health and tackle climate change!☀️ #CAleg #YesOnSB1020 https://t.co/EBasnCTC2b,Positive
"@gabowduale @MoECC_Somalia @SomaliPM @TheVillaSomalia @SomEnviroForum @action4environ @KhadijaMakhzumi @JustAwHirsi We need to look at good practice perspectiveand needs to start from bottom not the goverment sidewith no laws in place i am not sure if the  Government has the capacity and resource to ban plastic.

Priority NO!1  should be.
-Clean the messes of prev DECC .",Positive
Canadian plastics manufacturers are finding real solutions to eliminating plastic waste by building a circular economy. A proposed federal ban on single-use plastics will only hurt Canadians. Learn more here: https://t.co/JDEE4SF2tm https://t.co/pdi1i1CXz1,Positive
climate change initiatives reducing carbon emissions to 6% below 1990 levels and is the first municipality to implement a ban on plastic bags. Mr. Pelosi is a founding member of Cisco Connected Urban Development. Under the direction of Cisco CEO John Chambers Mr. Pelosi works,Positive
#REPORT: Plastics producers asking court to stop planned federal ban on single-use plastic products. https://t.co/YXaJ6EDFBW,Neutral
More than two dozen plastic makers are asking Ottawa to put an end to the impending ban several single-use plastic items. https://t.co/DwPWMlREP9 https://t.co/JwrtCXORw4,Positive
@brianbfine @Call_Me_TDOG @MeidasTouch Hold 13. Also semi automatic. So you let people ban these “scary” plastic stock guns then it’s all semi auto. And you go down a rabbit hole. The laws put forth are done so by people ignorant to these guns and how they work. It makes no sense to us gun owners,Negative
@CastanetNews Absolutely. Ban single use plastic,Positive
@delawareonline This ban only causes inconvenience to residents when drive on highway you still see trash bags instead of these plastic bags everywhere. Not a solution at all.,Neutral
"I have a question how does using a paper straw in a plastic cup make any sense ?

Plastic makers want the Federal Court to end the ban on single-use plastic items.
 https://t.co/pu3zPQ8vw9 via @RebelNewsOnline",Neutral
Plastics producers asking court to stop planned federal ban on single-use plastic products https://t.co/qLdDYHpG1r 😮😱🧐,Neutral
Plastics producers dinala ang laban sa korte upang pigilan ang Canada na ipatupad ang ban sa single-use plastic items sa bansa. https://t.co/Sd4aZnVwXF,Neutral
"Soon after the Canadian government announced its ban on single use plastics plastic production companies file a second lawsuit.  

https://t.co/0NQ77C2LQF",Negative
"Ban the ban on plastic straws.  Make plastic straws an option for people with swallowing or eating disabilities.  Don't ditch the single-use plastics &amp; packaging restriction. Make it inclusive.   https://t.co/WAlnY9QZBg
#scleroderma #Disability #disabilityjustice #SpeechTherapy",Neutral
"With Canada's plastic ban set in motion we MUST have a #ReuseAndRefill strategy in place before single-use plastic gets replaced with...more plastic 😒 

Tell @s_guilbeault: support a reuse strategy now before it's too late! 🗣️ &gt;&gt; https://t.co/Aj6OKfvSuJ #Cdnpoli #Reuse #Refill",Negative
"This summer the US announced that it would be phasing out the sales of single-use plastics in public lands and national parks over the next ten years. To read more about this ban visit the link below! #bansingleuse 
https://t.co/8pYI8J4boK

Source:
https://t.co/QeBM7LWZsQ https://t.co/isgIArDcWA",Positive
Delaware's revised ban on single-use plastic bags went into effect on July 1. A month later retailers detail reports of shopping baskets being stolen https://t.co/ZQJ0uWfwNr,Neutral
@browneyegirl400 @cleverly1187 See what happens when you ban plastic straws in the workplace.,Neutral
Does your state mandate single use plastic? Are businesses in your state required to recycle or does the waste go to a landfill? 🤔 how to go about getting legislation introduced to ban single use plastic force businesses to recycle &amp; bring back recycle machines.,Negative
"Come on people. Is it really that hard? I'm sure NJ is not the only place this is happening.

Plastic bag ban backfires at some New Jersey supermarkets https://t.co/7shXdtpVvL via @YouTube",Positive
Imagine the world we live in if the @EPA could properly ban single use plastic as the number one reason for global warming. everything packaged in hemp everything has a shelf life as nature intended.,Positive
Plastic makers ask court to reject Ottawa’s plan to ban single use straws cups https://t.co/iBUtfbJg8Z,Negative
Plastic makers ask court to reject Ottawa’s plan to ban single use straws cups https://t.co/Rvrr7cd3AD,Negative
@ambot51 Thanks for stopping! I know that the legislature created a law that would ban bans like these on plastic bags... but I'm not sure about plates and utensils. I can nose around. Enjoy your time here!,Positive
"The newly ministry should be mobilize of all environmental law to solve the environmental problems of the country including total ban on single plastic uses.
First halting deforestation and second directive is total ban on single plastic uses. 
Brother @gabowduale https://t.co/eJryS5gFjS",Positive
"Seriously?

Plastic makers ask court to reject Ottawa’s plan to ban single use straws cups - National | https://t.co/QY6aArH2gy https://t.co/2pC5vFBtMg",Negative
@TrumpsHamberduh @Mama_Isss Well the tweet was pertaining to the NJ plastic bag ban which was why I named 8 “other” States.  I didn’t include MD though b/c the bag ban isn’t state wide.,Negative
@catebiggs91 Convincing people about COVID whilst losing colleagues trying to help them feels similar to trying to convince MPs to ban plastic carpet turf,Positive
"How plastic and oil companies even still have a say with the amount of scientific proof their business has on the destruction of the planet is beyond me... 

https://t.co/ENrZPPb7mJ",Neutral
Plastics producers ask court to quash planned federal ban on single-use straws cups https://t.co/vpbpzsICrB plastic producers have had years to make plastic recyclable and biodegradable Need to ban single use plastic toys to,Negative
"@CitizenJamaican Solutions: 1) begin ban of small or large petroleum base plastic containers imported to island gradually phasing out all plastic containers
2) replace petroleum base plastic w/ locally manufactured hemp plastic
3) tax imported plastics w/ tax funds going towards clean up efforts",Negative
Public Notice concerning Single Use Plastic ban. https://t.co/OCpsdZIKLK,Negative
@thehill @TheHillOpinion Please lets do that! Also lets pass something to take away freedom of speech. Its dangerous that people can say what ever they want. Its dangerous for the children. Also BAN all Weapons to include knives. Only plastic knives.  Ban ALL gas cars. No more oil.,Negative
定圧だわ,Neutral
低圧サイクルは熱効率がいい　それだけは漠然と覚えているんだ,Neutral
MINI買っちまうか…,Neutral
@VOCMNEWS When the only action plans the government can implement are this and a plastic bag ban - it is telling that that they really are doing not much at all. Our Health Care is in Shambles. Our Roads are not fit to drive on . . . but they can say they banned plastic bags and taxed kids,Positive
More than two dozen plastic makers are asking the Federal Court to put an end to Ottawa's plan to ban several single-use plastic items but Environment Minister Steven Guilbeault says he's confident the attempt will fail. https://t.co/l5pWKYWUEq,Positive
ALL NATIONS MUST BAN PLASTIC FOSSIL FUELS BPA GMOS ALL TOXIC CHEMICALS,Neutral
"- Total ban on single use plastics except for use in medical settings (i.e ban reusable cups in hotels and toothpicks wrapped in plastic in restaurants etc)
- Spend £20bn to build the Severn Barrage providing 6% of UK electricity
- Ban construction of new nuclear power stations",Positive
"Having some fun this morning discussing environmental policies for the first day of a Tonks government (you dread to think!)

- Ban the sale of bottled water + mandate all supermarkets to have free water taps
- 10p plastic bottle surcharge reclaimable at a bottle bank",Positive
@CTVNews My daughter just came back from Ontario last week. She was shocked to see plastic bags in the grocery store. Isn’t it defeating the purpose that us in little NS banned plastic bags. But Ontario hasn’t🤷‍♀️ All of Canada should ban all plastic! @environmentca,Negative
#heatwave doom and gloom doom and gloom all part of plan electric cars solar panels ban fossil fuels where is all the elements coming from for all these batteries lithium plastic lead . Solar panels  not recyclable going in landfill lithium millions of tons dug out of the earth,Negative
@Samantha_era_ Go green ban plastic 🌱🌿,Negative
@Stephen80788025 @Stephen4_2 Ban the plastic!,Neutral
"If you are hoisting the flag in your house choose sustainable long term options such as cloth flags. 
After use fold and keep them safe for next year!

Inspite of SUP ban plastic flags are available refrain from buying them. https://t.co/1Nj4YrL0Zt",Positive
"Plastic waste is an eyesore to all of us &amp; it is harmful to our environment. 

Last year the 🇪🇺 Union banned single use plastic. This was an important step. It's time to take more action to prevent plastic waste.

We need to enforce &amp; extend the ban on single-use plastics!",Positive
Single Use Plastic Ban https://t.co/uAL4GTGPZ1,Negative
@wastebase I did not know the UK has a ban on plastic bags or do you mean charge on carrier bags?,Negative
Recently @JamesWakibia posted about the challenge of implementing a Plastic Bag Ban in #Kenya.  Here is an article looking at a country (#UK) which has successfully implemented it but in doing so achieved a mixed result: https://t.co/KwsTKjdvrS,Positive
"@gabowduale @MoECC_Somalia @SomaliPM @TheVillaSomalia @SomEnviroForum @action4environ @KhadijaMakhzumi @JustAwHirsi First to develop the waste management policy/bill then Plastic bag Action Plan. Prepare affordable alternative for single use plastic Then the @MoECC_Somalia can BAN. 

Can your organization @nis_africa really support the above strategies",Positive
"In an attempt to create a plastic-free environment the Central Government has imposed a ban on single-use plastics. #AsomBarta takes an insightful dive into the matter.

https://t.co/lBeEsr86JS

@himantabiswa  @cmpatowary  @diprassam",Neutral
The first directive of the newly constituted ⁦@MoECC_Somalia⁩ should be A TOTAL BAN ON SINGLE USE PLASTIC ACROSS THE COUNTRY. ⁦@SomaliPM⁩ ⁦@TheVillaSomalia⁩ ⁦@SomEnviroForum⁩ ⁦@⁩ ⁦@action4environ⁩ ⁦@KhadijaMakhzumi⁩ ⁦@JustAwHirsi⁩ https://t.co/btwGD5Iesq,Positive
"🔴ZIMBABWE is yet to ban single use plastic bags despite that they are a major environmental threat the Environmental Management Agency said.
https://t.co/gal2H77vYJ @wisdomdzungairi https://t.co/LZPstx8zdG",Negative
@ErikSolheim @TheOceanCleanup Well done! Thank you! I agree. Let’s ban plastic. Only use it when is strictly necessary 🙏💚🌏. Let’s #SaveSoil #WorldUnitesForSoil #UnitedForLand Time to reverse the damage. @EU_Commission @UNEP @mitecogob @FAO @POTUS @SadhguruJV @UNCCD @EU_ENV,Neutral
Plastic #Shitlawns now regularly flytipped we’ve found.People obviously realising it actually is shit &amp; want rid..Binneddumped or taken to the tipit has massive detrimental impact as it degrades &amp; leaches billions microplastic particles into environment ! Ban the sale of it ! https://t.co/aSbGBl4U1b,Negative
When I think about all the small uniquely independent shops &amp; business that are now gone. From bakeriessaddle makersnewsagents to sweet shops.All replaced by branded plastic trashy sameness like Centra.Our cities &amp; wee towns now multinational colonised.Stoneybatter an example. https://t.co/7vT5zlVDhP,Positive
"The single-use plastic ban in Scotland will now come into full effect. 

The Internal Markets Bill threatened to make the ban ineffective but now the UK Government has exempted it from this bill. Read more: 

https://t.co/vX2jQje66v

#SingleUsePlastics #Scotland #FoodService",Positive
Should Canada ban single-use plastic items? – Poll https://t.co/EX9DIfl1T3,Neutral
More than two dozen plastic makers are asking the Federal Court to put an end to Canada's plan to ban several single-use plastic items including straws cutlery and takeout containers. https://t.co/VnRaN9IzJe,Positive
@Reuters How are those carbon credits working out?  Not. Let's ban plastic straws.🤣,Neutral
"🐳 Protect nature 
💙 Protect our communities 
🌍 Protect the planet 

Time for a ban on wipes that contain plastic.

Act now – https://t.co/iiM5bIa5Gn

#NatureCalls #BanWipes #JoinTheWave

@mcsuk @KSBScotland @ZeroWasteScot https://t.co/EeDBm5lxWw",Neutral
@GerryAdamsSF Any word on calling for a ban on the lead bullets seems to be more of them in West Belfast than plastic ones,Positive
